Time,Data_1,Data_2,Data_3,Data_4
0 sec,78.372,-0.16,-0.16,0
0.00087184 sec,78.3719860505744,-0.160017436781945,-0.160017436781945,0
0.0017437 sec,78.3719721011489,-0.160034873563891,-0.160034873563891,0
0.0026155 sec,78.3719581517233,-0.160052310345836,-0.160052310345836,0
0.011334 sec,78.3718186574678,-0.16022667816529,-0.16022667816529,0
0.020052 sec,78.3716791632122,-0.160401045984744,-0.160401045984744,0
0.028771 sec,78.3715396689566,-0.160575413804198,-0.160575413804198,0
0.10194 sec,78.3703689161708,-0.162038854786452,-0.162038854786452,0
0.17511 sec,78.369198163385,-0.163502295768705,-0.163502295768705,0
0.24829 sec,78.3680274105992,-0.164965736750958,-0.164965736750958,0
0.32146 sec,78.3668566578134,-0.166429177733211,-0.166429177733211,0
0.52146 sec,78.3636566578134,-0.170429177733211,-0.170429177733211,0
0.72146 sec,78.3604566578134,-0.174429177733211,-0.174429177733211,0
0.92146 sec,78.3572566578134,-0.178429177733211,-0.178429177733211,0
1.1215 sec,78.3540566578134,-0.182429177733211,-0.182429177733211,3.20462420030106
1.3215 sec,78.3508566578134,-0.186429177733211,-0.186429177733211,8.5247531836965
1.5215 sec,78.3476566578134,-0.190429177733211,-0.190429177733211,13.9016333886549
1.7215 sec,78.3444566578134,-0.194429177733211,-0.194429177733211,19.3339570301468
1.9215 sec,78.3412566578134,-0.198429177733211,-0.198429177733211,24.8210826051803
2.1215 sec,78.3380566578134,-0.202429177733211,-0.202429177733211,30.2585910140347
2.3215 sec,78.3348566578134,-0.206429177733211,-0.206429177733211,35.524358048623
2.5215 sec,78.3316566578134,-0.210429177733211,-0.210429177733211,40.5631717310891
2.7215 sec,78.3284566578134,-0.214429177733211,-0.214429177733211,45.3554862753069
2.9215 sec,78.3252566578134,-0.218429177733211,-0.218429177733211,49.89462807286
3.1215 sec,78.3237577819595,-0.220302772550596,-0.220302772550596,54.1957818634617
3.3215 sec,78.3234219195389,-0.220722600576359,-0.220722600576359,58.2551412452803
3.5215 sec,78.3231891982641,-0.221013502169872,-0.221013502169872,62.067806412685
3.7215 sec,78.3230603704604,-0.221174536924493,-0.221174536924493,65.643316166431
3.9215 sec,78.3230328071353,-0.221208991080901,-0.221208991080901,68.9924640544345
4.1215 sec,78.3231056062149,-0.221117992231412,-0.221117992231412,72.1257020415617
4.3215 sec,78.3232793181026,-0.220900852371769,-0.220900852371769,75.0530808078131
4.5215 sec,78.323554738043,-0.220556577446206,-0.220556577446206,77.7849020868722
4.7215 sec,78.3239323499169,-0.220084562603818,-0.220084562603818,80.3317370614537
4.9215 sec,78.3244124278438,-0.219484465195279,-0.219484465195279,82.7038912921326
5.1215 sec,78.3249952145523,-0.21875598180956,-0.21875598180956,84.9112021426991
5.3215 sec,78.3256809844874,-0.2178987693908,-0.2178987693908,86.9630524665168
5.5215 sec,78.3264700323029,-0.216912459621408,-0.216912459621408,88.8684107067973
5.7215 sec,78.3273626533672,-0.215796683290993,-0.215796683290993,90.6358316234208
5.9215 sec,78.3283591341102,-0.21455108236228,-0.21455108236228,92.2734453810269
6.1215 sec,78.3294427667675,-0.213196541540581,-0.213196541540581,93.7887847642474
6.3215 sec,78.3305843287987,-0.211769589001634,-0.211769589001634,95.1888502279709
6.5215 sec,78.3317645254715,-0.210294343160564,-0.210294343160564,96.480363503528
6.7215 sec,78.332979932495,-0.208775084381181,-0.208775084381181,97.6698605949609
6.9215 sec,78.3342303660605,-0.207212042424347,-0.207212042424347,98.7635413119952
7.0606 sec,78.4164770869212,-0.104403641348507,-0.104403641348507,99.4619244348761
7.1998 sec,78.6058044589357,0.132255573669599,0.132255573669599,100.127233764882
7.3389 sec,78.7988980082,0.373622510249995,0.373622510249995,100.759927066619
7.4781 sec,78.9959712162282,0.619964020285219,0.619964020285219,101.344424462971
7.6173 sec,79.1969303786657,0.87116297333206,0.87116297333206,101.893349423095
7.8173 sec,79.4923572786656,1.24044659833203,1.24044659833203,102.625785005319
8.0173 sec,79.7931261596997,1.61640769962465,1.61640769962465,103.295424486535
8.2173 sec,80.0934670715662,1.99183383945775,1.99183383945775,103.898896162366
8.4173 sec,80.3886719346594,2.3608399183243,2.3608399183243,104.439782412838
8.6173 sec,80.676630864866,2.72078858108247,2.72078858108247,104.930461852967
8.8173 sec,80.9564270675201,3.07053383440006,3.07053383440006,105.366828999603
9.0173 sec,81.2275649574082,3.40945619676027,3.40945619676027,105.754939095663
9.2173 sec,81.4897735713466,3.73721696418329,3.73721696418329,106.097919407981
9.4173 sec,81.7430133593247,4.05376669915589,4.05376669915589,106.398934435454
9.6173 sec,81.9874441127779,4.35930514097241,4.35930514097241,106.66056183826
9.8173 sec,82.2233479996903,4.65418499961293,4.65418499961293,106.885553190032
10 sec,82.4314248625199,4.91428107814984,4.91428107814984,107.056574971829
